일자,요일,지역,호선,승차,하차,기온,강수량,전운량
2019-01-01,평일,광주,1,27635,27060,0,0,7.9
2019-01-01,평일,대구,1,120443,121128,-0.6,0,3.6
2019-01-01,평일,대구,2,80125,77667,-0.6,0,3.6
2019-01-01,평일,대구,3,35698,35803,-0.6,0,3.6
2019-01-01,평일,부산,1,273960,275668,1,0,0.4
2019-01-01,평일,부산,2,204480,201783,1,0,0.4
2019-01-01,평일,부산,3,45873,44663,1,0,0.4
2019-01-01,평일,부산,4,14933,14942,1,0,0.4
2019-01-01,평일,서울,1,153785,139548,-5,0,3.4
2019-01-01,평일,서울,2,686073,677271,-5,0,3.4
2019-01-01,평일,서울,3,244253,242213,-5,0,3.4
2019-01-01,평일,서울,4,278431,284902,-5,0,3.4
2019-01-01,평일,서울,5,251687,253814,-5,0,3.4
2019-01-01,평일,서울,6,169139,161675,-5,0,3.4
2019-01-01,평일,서울,7,300697,294504,-5,0,3.4
2019-01-01,평일,서울,8,85809,88549,-5,0,3.4
2019-01-01,평일,인천,1,100200,100298,-4.4,0,2.5
2019-01-01,평일,인천,2,52090,54169,-4.4,0,2.5
2019-01-02,평일,광주,1,54124,53178,-0.1,0,3.9
2019-01-02,평일,대구,1,202152,204649,-0.5,0,0.5
2019-01-02,평일,대구,2,168974,163994,-0.5,0,0.5
2019-01-02,평일,대구,3,76248,75497,-0.5,0,0.5
2019-01-02,평일,부산,1,482950,482780,1.2,0,0
2019-01-02,평일,부산,2,333069,332628,1.2,0,0
2019-01-02,평일,부산,3,91478,88472,1.2,0,0
2019-01-02,평일,부산,4,29837,29654,1.2,0,0
2019-01-02,평일,서울,1,285182,278398,-4.9,0,0
2019-01-02,평일,서울,2,1625177,1645943,-4.9,0,0
2019-01-02,평일,서울,3,587401,584334,-4.9,0,0
2019-01-02,평일,서울,4,586497,594445,-4.9,0,0
2019-01-02,평일,서울,5,655658,650039,-4.9,0,0
2019-01-02,평일,서울,6,360939,355598,-4.9,0,0
2019-01-02,평일,서울,7,765160,755183,-4.9,0,0
2019-01-02,평일,서울,8,201595,203425,-4.9,0,0
2019-01-02,평일,인천,1,205784,201561,-3.9,0,0
2019-01-02,평일,인천,2,114439,113649,-3.9,0,0
2019-01-03,평일,광주,1,56302,54978,0.5,0,0
2019-01-03,평일,대구,1,203825,206230,0,0,0
2019-01-03,평일,대구,2,174120,170007,0,0,0
2019-01-03,평일,대구,3,79732,79242,0,0,0
2019-01-03,평일,부산,1,490771,490850,3,0,0
2019-01-03,평일,부산,2,346723,345900,3,0,0
2019-01-03,평일,부산,3,97428,94218,3,0,0
2019-01-03,평일,부산,4,30932,30817,3,0,0
2019-01-03,평일,서울,1,297440,291142,-3.5,0,0.1
2019-01-03,평일,서울,2,1693450,1714307,-3.5,0,0.1
2019-01-03,평일,서울,3,611847,608748,-3.5,0,0.1
2019-01-03,평일,서울,4,610649,617621,-3.5,0,0.1
2019-01-03,평일,서울,5,675414,668054,-3.5,0,0.1
2019-01-03,평일,서울,6,376296,371211,-3.5,0,0.1
2019-01-03,평일,서울,7,783880,773800,-3.5,0,0.1
2019-01-03,평일,서울,8,206854,207709,-3.5,0,0.1
2019-01-03,평일,인천,1,209925,206914,-2.6,0,0.4
2019-01-03,평일,인천,2,116907,116571,-2.6,0,0.4
2019-01-04,평일,광주,1,57755,56038,0.7,0,6.6
2019-01-04,평일,대구,1,214568,217404,0.9,0,2.1
2019-01-04,평일,대구,2,184013,176896,0.9,0,2.1
2019-01-04,평일,대구,3,81058,80455,0.9,0,2.1
2019-01-04,평일,부산,1,510864,511853,5,0,5.4
2019-01-04,평일,부산,2,357128,356868,5,0,5.4
2019-01-04,평일,부산,3,99026,94947,5,0,5.4
2019-01-04,평일,부산,4,31756,31289,5,0,5.4
2019-01-04,평일,서울,1,318191,311395,-1.1,0,5.5
2019-01-04,평일,서울,2,1772280,1809030,-1.1,0,5.5
2019-01-04,평일,서울,3,645688,643095,-1.1,0,5.5
2019-01-04,평일,서울,4,634403,643793,-1.1,0,5.5
2019-01-04,평일,서울,5,695419,686226,-1.1,0,5.5
2019-01-04,평일,서울,6,392264,387325,-1.1,0,5.5
2019-01-04,평일,서울,7,808029,796050,-1.1,0,5.5
2019-01-04,평일,서울,8,219293,219452,-1.1,0,5.5
2019-01-04,평일,인천,1,228130,224805,-0.3,0,3.6
2019-01-04,평일,인천,2,121898,120352,-0.3,0,3.6
2019-01-05,주말,광주,1,44097,43210,2,0,2.9
2019-01-05,주말,대구,1,195365,199104,2.4,0,2.1
2019-01-05,주말,대구,2,151800,145570,2.4,0,2.1
